#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Aug 14 12:55:41 EDT 2020,100,100,Assignment0Suite,LoudTest+ QuietTest+ , , , ,
1,Fri Aug 14 12:55:50 EDT 2020,100,0,Assignment0Suite,LoudTest QuietTest , , , ,
